,Company,Salary,JobTitle,Location,Job Description,Rating,Industry,Size,Founded,Revenue,hourly,Employer provided,Min_Salary,Max_Salary,Average Salary,Job_State,Job_City,age,Python,r_Studio,Spark,aws,excel
0,Boston Children's Hospital,$42K - $54K (Glassdoor est.),Natural Language Processing Research Assistant II,"Boston, MA","At Boston Children’s Hospital, the quality of our care – and our inclusive hospital working environment – lies in the diversity of our people. With patients from local communities and 160 countries around the world, we’re committed to reflecting the spectrum of their cultures, while opening doors of opportunity for our team. Here, different talents pursue common goals. Voices are heard and ideas are shared. Join us, and discover how your unique contributions can change lives. Yours included.
Job Summary
The Musculoskeletal Informatics Group (https://www.musculoskeletal.ai/) in the Department of Orthopedic Surgery at Boston Children’s Hospital and Harvard Medical School has an immediate opening for a motivated Research Assistant (RA) to work with a multidisciplinary team of biomedical engineers, orthopedic surgeons, and computer and data scientists to develop Natural Language Processing (NLP)-based tools for processing medical records. This role contributes to the development of centralized patient database and disease specific registries. This opportunity is primarily focused on translational research with immediate impact on clinical care of patients with a range of musculoskeletal conditions, through publication of novel findings and development of computational tools used by clinicians.
#CB





Show More
Report",4.0,Nonprofit Organization,5001 to 10000 Employees,1869,Unknown / Non-Applicable,0,0,42.0,54.0,48.0, MA,Boston,154,0,0,0,0,0
1,Cenergy International Services,$125K (Employer est.),Senior Systems Engineer - Systems Modeling & Controls Expert,"Boston, MA","You will have an opportunity to directly impact the energy industry and help shape the direction of Shell as it navigates through the energy transition. You will be part of a team of passionate, creative engineers and entrepreneurs working in a caring, fun, and dynamic environment. Shell TechWorks is an innovation hub that works on a project basis across all of Shell’s businesses ranging from Deep Water and Exploration through to Retail and Renewables & Energy Solutions. We bring together people with disparate backgrounds from outside the oil & gas industries to tackle the big challenges the energy industry is facing. You will be part of a truly collaborative, inclusive, multi-functional team with a mission to help Shell produce more and cleaner energy.
Some examples of projects we have worked on recently include:
· Developing roadmaps, based upon in-depth system analyses, to help customers in hard-to-abate industrial sectors such as cement and steel manufacturing realize their decarbonization goals.
· Modeling supply chain networks and developing a feedstock strategy to divert landfill bound plastic waste and manufacture circular chemicals for customers.

Show More
Report",4.1,Company - Public,10000+ Employees,1907,$10+ billion (USD),0,1,125.0,125.0,125.0, MA,Boston,116,0,0,0,0,0
3,Slim Chickens,$65K - $92K (Glassdoor est.),Senior Data Analyst - Finance,"Fayetteville, AR","Job Purpose: Use your out-of-the-box thinking and inquisitive mind to create data driven insights that influence decisions made by leadership across the brand.
Job Duties: Include, but not limited to:
· Leverage intermediate to advanced modeling techniques bringing data to life, selecting the best approach for using structured and unstructured complex data and develop custom analytics processes to generate insights that drive value for the entire brand.
· Automating and optimizing insightful reporting distributed to all levels of leadership.
· Work closely with departmental leaders to help design and develop self-serve capabilities making data easily accessible.
Show More
Report",3.7,Restaurants & Cafes,Unknown,Company - Private,-1,0,0,65.0,92.0,78.5, AR,Fayetteville,-1,0,0,0,0,0
5,Charter Manufacturing,$78K - $192K (Employer est.),Advance Analytics Data Scientist,"Mequon, WI","POSITION PURPOSE/MISSION:
Effectively synthesize large amounts of data to identify key business drivers, translating data to create actionable insights that drive change in business strategy, and increase efficiency in supply chain. Understand external market and internal business context. Focus primarily on increasing forecast accuracy, scoping business challenges and developing and implementing models to improve the business and measure solutions. Support strategic projects across business. Utilize a mix of deep analytical skills, manufacturing knowledge, and relationship management with key internal partners by turning insights into actions.
MINIMUM QUALIFICATIONS:
Bachelor’s Degree in computer science, Statistics, Advance Analytics, or related field.
Five plus years’ related experience.
Show More
Report",4.1,Company - Private,1001 to 5000 Employees,1946,$500 million to $1 billion (USD),0,1,78.0,192.0,135.0, WI,Mequon,77,0,0,0,0,0
7,n-Lorem Foundation,$80K - $100K (Employer est.),Clinical Data Scientist,"Carlsbad, CA","Position Title: Clinical Data Scientist
Reporting to: Sr. Director, Clinical Development
Hours: Full-Time
Location: on-site in Carlsbad, CA
Compensation: $80K-$100K/ annual. + benefits
n-Lorem Foundation
Though n-Lorem is pioneering a novel non-profit model, to provide personalized experimental ASO treatments for free, for life to patients with the rarest of mutations (nano-rare), we are functionally a biotechnology company. We have a large and growing portfolio of ASO medicine discovery programs, more than 35 ASO medicines in development and multiple clinical programs.
Show More
Report",-1.0,-1,-1,-1,-1,0,1,80.0,100.0,90.0, CA,Carlsbad,-1,0,0,0,0,0
8,Kelly Products,$75K (Employer est.),Microbiome Data Research Scientist,"Covington, GA","Kelly Products Inc is a medium business in Covington, GA. Kelly Products Inc is a multicompany organization including lifestyle brands such as Flavor and Fettle (https://flavorandfettle.com) and Farmview Market (https://www.farmviewmarket.com). Kelly Products Inc has an expanding health focused group that is interested in developing new and innovative products focused on the microbiome from prebiotics and probiotics to naturally produced whole foods. We believe that good health is a prerequisite for a good life. But all too often our busy lives leave us overtired, and lacking adequate nutrition. Our bodies were created to do amazing things, but sometimes we all need a boost. That’s where Kelly Products comes in, to provide that extra support, allowing your body to thrive amidst the chaos of an active life. Our company motto is lived and breathed across Kelly companies top-down and across – from how we treat our coworkers to the service we provide our customers. Our guiding virtues of excellence and radical generosity serve as twin pillars that underpin our culture. We love people and work to provide opportunities to extend care to our teams, their families, and the world beyond through the life-changing organizations we support..
Show More
Report",3.6,Computer Hardware Development,51 to 200 Employees,Company - Private,-1,0,1,75.0,75.0,75.0, GA,Covington,-1,0,0,0,0,1
9,Vanguard,$96K - $132K (Glassdoor est.),Machine Learning Engineer,"Philadelphia, PA","Supports and performs the development and programming of machine learning integrated software algorithms to structure, analyze, and leverage data in a production environment.
Core Responsibilities
Leverages data pipeline designs and supports the development of data pipelines to support model development. Proficient with software tools that develop data pipelines in a distributed computing environment (PySprak, GlueETL).
Supports integration of model pipelines in a production environment. Develops understanding of SDLC for model production.
Reviews pipeline designs, makes data model design changes as needed. Documents and reviews design changes with data science teams.
Show More
Report",3.7,Company - Private,10000+ Employees,1975,Unknown / Non-Applicable,0,0,96.0,132.0,114.0, PA,Philadelphia,48,0,0,0,0,0
10,Enbridge,$94K - $132K (Glassdoor est.),Data Scientist V,"Houston, TX","Posting End Date:
April 09, 2023
Employee Type:
Regular-Full time
Union/Non:
This is a non-union position
Life takes energy. The Enbridge Technology + Innovation Lab works with data that powers our products to improve safety and reliability. By working hands-on with ground-breaking technology, the lab pioneers the development of innovative products through small agile teams. Our teams incorporate a variety of multidisciplinary skills, including industrial predictive algorithms, machine learning, and sentiment analysis.
As a Data Scientist V, you’ll bring a deep understanding of big data and will help the T+IL to build and enable big data analytics solutions. We build advanced technology products to deliver energy in a safe and reliable way to fuel a rapidly innovating world. Here in our new Technology + Innovation Lab we believe in Agile way of working, focus on our people and value craftsmanship, in a ‘work is play’ environment where we offer a flexible, fun, and modern working style to support individual needs.
Show More
Report",4.1,Company - Public,10000+ Employees,1949,$10+ billion (USD),0,0,94.0,132.0,113.0, TX,Houston,74,0,0,0,0,0
11,Pennum Industries,$28.00 - $30.00 Per Hour(Employer est.),Data Mining Center I&E Technician,"Pyote, TX","Data Center Tech/Electrician Job Description:
Looking for highly motivated individuals with knowledge and experience working in data center deployment or other multi-discipline industrial construction projects. The candidate should have a basic knowledge of HSE rules, and some exposure to NEC codes, and UL electrical standards or be extremely trainable. Ideal candidate can read blueprints, use diagnostic tools, and make decisions under pressure. Weekly Pay and $110/day per diem included.
Requirements/Qualifications:
Available to work full time in 10-12 hour shifts in high heat index and cold weather climates, Able to lift 35 pounds and complete strenuous physical work, Assist with loading/unloading of miners, Perform daily inspections/audits, Assist with troubleshooting of miners by visually inspecting to look for issues (ethernet cables, power cables, etc.) Assist with replacement of deficient machines, Communicate safety concerns, Assist with additional tasks as assigned by management; flexible schedule with some weekends and after-hours. be comfortable working with computers.
Show More
Report",-1.0,-1,-1,-1,-1,1,1,28.0,30.0,29.0, TX,Pyote,-1,0,0,0,0,0
12,"Bluemont Technology & Research, Inc.",$90K - $130K (Employer est.),Data Engineer,"Norfolk, VA","NATO Data Engineer
Requirements:
Ts/sci or secret clearance
High proficiency level in English language
A Bachelor of Science degree from a recognized university in computer science, IT, software or computer engineering, data science, applied math, physics, statistics, or a related field.
Experience with advanced level SQL, including query optimization, complex joins, development of stored procedures, user-defined functions and working with Analytic Functions in the last 3 years.
Proficient in at least one data manipulation language such as Python, Scala, R, etc.
Ability to develop ETL processes for batch and streaming data, with proficiency in tools and technologies such as Apache Spark, Apache Airflow, Pentaho Data Integration, SQL Server Integration Service
Show More
Report",-1.0,-1,-1,-1,-1,0,1,90.0,130.0,110.0, VA,Norfolk,-1,1,0,1,0,0
